"","ALTERNATIVE","TIME"
"1","cloud","677.770311"
"2","cloud","78.294949"
"3","cloud","70.115493"
"4","cloud","74.195812"
"5","cloud","81.149342"
"6","cloud","82.976387"
"7","cloud","80.630234"
"8","cloud","80.169862"
"9","cloud","79.484452"
"10","cloud","90.369956"
"11","cloud","85.432803"
"12","cloud","81.670222"
"13","cloud","79.697801"
"14","cloud","88.292179"
"15","cloud","86.290527"
"16","cloud","100.279455"
"17","cloud","80.063063"
"18","cloud","86.474064"
"19","cloud","93.428758"
"20","cloud","82.903726"
"21","cloud","89.009605"
"22","cloud","85.363571"
"23","cloud","84.608115"
"24","cloud","82.450588"
"25","cloud","89.878443"
"26","cloud","91.728797"
"27","cloud","75.620677"
"28","cloud","88.438255"
"29","cloud","82.221776"
"30","cloud","89.378437"
"31","cloud","74.971019"
"32","cloud","88.914986"
"33","cloud","83.619671"
"34","cloud","92.667142"
"35","cloud","83.235376"
"36","cloud","84.244401"
"37","cloud","83.287505"
"38","cloud","78.569543"
"39","cloud","85.59376"
"40","cloud","78.37973"
"41","cloud","89.851974"
"42","cloud","70.276684"
"43","cloud","80.450138"
"44","cloud","88.556001"
"45","cloud","83.899675"
"46","cloud","82.716418"
"47","cloud","83.007079"
"48","cloud","81.53127"
"49","cloud","93.409858"
"50","cloud","81.364198"
"51","cloud","79.969025"
"52","cloud","70.26122"
"53","cloud","83.855915"
"54","cloud","85.129331"
"55","cloud","101.961102"
"56","cloud","73.301094"
"57","cloud","72.664144"
"58","cloud","67.512715"
"59","cloud","77.399841"
"60","cloud","81.976036"
"61","cloud","70.816418"
"62","cloud","73.571095"
"63","cloud","84.798692"
"64","cloud","73.706943"
"65","cloud","150.98255"
"66","cloud","69.249234"
"67","cloud","89.499924"
"68","cloud","82.019364"
"69","cloud","70.901951"
"70","cloud","68.714258"
"71","cloud","75.020179"
"72","cloud","70.818607"
"73","cloud","650.498105"
"74","cloud","65.324546"
"75","cloud","83.478093"
"76","cloud","70.130932"
"77","cloud","335.652585"
"78","cloud","66.901892"
"79","cloud","75.606531"
"80","cloud","66.620853"
"81","cloud","77.821002"
"82","cloud","71.037596"
"83","cloud","66.511195"
"84","cloud","68.449065"
"85","cloud","71.393854"
"86","cloud","80.142731"
"87","cloud","83.825467"
"88","cloud","75.584539"
"89","cloud","78.944701"
"90","cloud","73.392188"
"91","cloud","89.412173"
"92","cloud","71.059704"
"93","cloud","84.118801"
"94","cloud","86.809457"
"95","cloud","70.905125"
"96","cloud","74.589501"
"97","cloud","82.178898"
"98","cloud","85.011156"
"99","cloud","84.192472"
"100","cloud","81.857919"
"101","cloud","71.401835"
"102","cloud","68.548696"
"103","cloud","80.347441"
"104","cloud","67.304407"
"105","cloud","68.071202"
"106","cloud","63.51021"
"107","cloud","71.356298"
"108","cloud","65.40997"
"109","cloud","66.387038"
"110","cloud","79.928231"
"111","cloud","63.570919"
"112","cloud","65.143439"
"113","cloud","68.355788"
"114","cloud","77.147097"
"115","cloud","72.438585"
"116","cloud","85.589046"
"117","cloud","89.775593"
"118","cloud","83.042131"
"119","cloud","83.150817"
"120","cloud","65.211662"
"121","cloud","66.855748"
"122","cloud","72.528109"
"123","cloud","70.377553"
"124","cloud","76.869038"
"125","cloud","69.828891"
"126","cloud","72.457256"
"127","cloud","67.545436"
"128","cloud","71.811883"
"129","cloud","66.499855"
"130","cloud","68.538051"
"131","cloud","73.117369"
"132","cloud","69.06842"
"133","cloud","76.976903"
"134","cloud","67.198108"
"135","cloud","134.551739"
"136","cloud","75.832815"
"137","cloud","67.451426"
"138","cloud","66.412171"
"139","cloud","67.84401"
"140","cloud","66.293148"
"141","cloud","70.06"
"142","cloud","70.212244"
"143","cloud","64.990215"
"144","cloud","79.520938"
"145","cloud","79.320389"
"146","cloud","67.471672"
"147","cloud","65.763187"
"148","cloud","72.070251"
"149","cloud","64.205911"
"150","cloud","63.897083"
"151","cloud","66.298911"
"152","cloud","65.660244"
"153","cloud","68.803464"
"154","cloud","68.647486"
"155","cloud","67.639959"
"156","cloud","65.994746"
"157","cloud","73.252204"
"158","cloud","72.598846"
"159","cloud","68.566349"
"160","cloud","75.176766"
"161","cloud","81.876016"
"162","cloud","79.162748"
"163","cloud","78.317544"
"164","cloud","67.761095"
"165","cloud","64.396271"
"166","cloud","67.465102"
"167","cloud","68.795934"
"168","cloud","72.11776"
"169","cloud","66.828325"
"170","cloud","70.576257"
"171","cloud","65.816874"
"172","cloud","65.037678"
"173","cloud","66.576646"
"174","cloud","65.641412"
"175","cloud","66.040692"
"176","cloud","66.696651"
"177","cloud","318.867408"
"178","cloud","68.428427"
"179","cloud","72.176632"
"180","cloud","68.143913"
"181","cloud","80.502912"
"182","cloud","63.930255"
"183","cloud","81.297376"
"184","cloud","67.695204"
"185","cloud","67.631729"
"186","cloud","66.524635"
"187","cloud","67.52005"
"188","cloud","80.328543"
"189","cloud","68.80998"
"190","cloud","70.817282"
"191","cloud","66.344031"
"192","cloud","66.165883"
"193","cloud","69.717434"
"194","cloud","69.833389"
"195","cloud","75.10872"
"196","cloud","70.386124"
"197","cloud","65.094543"
"198","cloud","68.564433"
"199","cloud","70.025808"
"200","cloud","79.349132"
"201","cloud","69.591194"
"202","cloud","71.439372"
"203","cloud","74.245975"
"204","cloud","71.825934"
"205","cloud","68.889272"
"206","cloud","69.378353"
"207","cloud","74.468916"
